Exposure,ID,iri_before,iri_after,change_iri,length,depth_before,depth_after,SVL
Control,EE2_0_2,1.6445,0.4362,-1.2083,93.841,4.203,4.325,36.418
Control,EE2_0_3,2.3897,1.8652,-0.5245,99.85,3.913,3.954,38.775
Control,EE2_0_4,2.9752,2.9856,0.0104,106.613,3.529,3.578,38.858
Control,EE2_0_5,1.6734,0.5381,-1.1353,86.314,2.988,2.929,34.213
Control,EE2_0_6,0.0714,0.2744,0.203,84.247,3.108,3.228,33.84
Estrogen,EE2_5_1,1.4619,5.7794,4.3175,110.669,5.021,5.762,41.72
Estrogen,EE2_5_4,1.6385,1.9948,0.3563,105.429,4.885,5.626,41.934
Estrogen,EE2_5_5,0.28,3.6999,3.4199,79.75,3.406,3.737,32.034
Estrogen,EE2_5_6,0.917,4.9638,4.0468,89.011,3.669,4.629,34.225
Estrogen,EE2_10_1,2.3205,2.4284,0.1079,102.706,4.224,4.702,39.462
Estrogen,EE2_10_2,0.3467,5.9987,5.652,85.778,3.441,4.281,34.293
Estrogen,EE2_10_5,0.3095,1.754,1.4445,85.816,3.482,4.041,33.555
Estrogen,EE2_10_6,0.2523,0.8232,0.5709,86.273,3.606,4.288,33.083
