"","Location","Fish.ID","mean_hard","total_hard","mean_easy","total_easy","depth","DAI_hard","DAI_easy","DAIT_hard","DAIT_easy","band_num","body_iri","body_iriDAI"
"17","FLAB","FLABF21",0.137214286,1.921,0.6425,8.9945,6.746,0.020340096,0.095241625,0.28476134,1.333308627,13.99999997,7.0735,1.048547287
"3","FLAB","FLABF18",0.1484118,2.523,0.6364,11.4545,6.874,0.021590311,0.092580739,0.367035205,1.666351469,16.99999596,8.9315,1.299316264
"12","FLAB","FLABF13",0.1365,1.911,0.7338,10.2727,7.383,0.018488419,0.099390492,0.258837871,1.39139916,14,8.3617,1.132561289
"15","FLAB","FLABF19",0.087666667,1.315,0.2311,3.4672,6.485,0.013518376,0.035636083,0.202775636,0.53464919,14.99999994,2.1522,0.331873554
"4","FLAB","FLABF22",0.1968667,2.953,0.5753,8.6302,7.904,0.024907224,0.072785931,0.3736083,1.09187753,14.99999746,5.6772,0.71826923
"1","FLAB","FLABF10",0.2603529,4.426,1.1365,18.1836,7.556,0.034456445,0.15041027,0.585759661,2.406511382,17.00000269,13.7576,1.820751721
"5","FLAB","FLABF3",0.4464,6.696,0.737,11.0557,5.55,0.080432432,0.132792793,1.206486486,1.992018018,15,4.3597,0.785531532
"11","FLAB","FLABF11",0.158933333,2.384,0.8869,13.303,6.29,0.025267621,0.14100159,0.379014308,2.114944356,15.00000003,10.919,1.735930048
"14","FLAB","FLABF15",0.126357143,1.769,0.3874,5.4242,6.103,0.020704103,0.063476979,0.289857447,0.888776012,13.99999998,3.6552,0.598918565
"2","FLAB","FLABF16",0.1694118,2.88,0.7859,11.7888,6.765,0.025042395,0.116171471,0.425720621,1.742616408,16.99999646,8.9088,1.316895787
"6","FLAB","FLABF4",0.5636842,10.71,0.9977,17.9584,7.527,0.074888295,0.132549489,1.42287764,2.385864222,19.00000035,7.2484,0.962986582
"7","FLAB","FLABF5",0.7652632,14.54,1.4676,27.884,10.143,0.075447422,0.14469092,1.433500937,2.749088041,18.99999895,13.344,1.315587104
"8","FLAB","FLABF9",0.2255556,4.06,1.1923,20.2692,7.846,0.028747846,0.151962784,0.517461127,2.583380066,17.99999645,16.2092,2.065918939
"18","FLAB","FLABF24",0.176333333,2.645,0.6127,9.1902,6.553,0.026908795,0.093499161,0.403631924,1.40244163,15.00000003,6.5452,0.998809706
"9","FLAB","FLABF6",0.357071429,4.999,0.6493,9.0908,6.621,0.053930136,0.098066757,0.7550219,1.373025223,13.99999998,4.0918,0.618003323
"16","FLAB","FLABF20",0.172785714,2.419,0.6074,8.5033,7.215,0.023948124,0.084185724,0.335273735,1.178558559,14.00000002,6.0843,0.843284824
"13","FLAB","FLABF14",0.2095,3.771,0.6416,11.5495,7.682,0.027271544,0.083519917,0.49088779,1.503449622,18,7.7785,1.012561832
"35","FLFD","FLFDF8",0.1507333,2.261,0.4079,6.1185,8.616,0.01749458,0.047342154,0.262418756,0.710132312,15.00000332,3.8575,0.447713556
"25","FLFD","FLFDF19",0.18,2.48,0.4541,6.3579,7.236,0.024875622,0.062755666,0.34273079,0.878648425,14,3.8779,0.535917635
"31","FLFD","FLFDF25",0.073,1.095,0.1991,2.9869,5,0.0146,0.03982,0.219,0.59738,15,1.8919,0.37838
"24","FLFD","FLFDF18",0.1667333,2.501,0.4276,6.4146,6.774,0.024613714,0.063123708,0.369205787,0.946944198,15.000003,3.9136,0.577738411
"30","FLFD","FLFDF24",0.2250667,3.376,0.286,4.0038,5.813,0.038717822,0.049200069,0.580767246,0.688766558,14.99999778,0.6278,0.107999312
"22","FLFD","FLFDF16",0.2833529,4.817,0.3059,4.5885,7.398,0.038301284,0.041349013,0.651121925,0.620235199,17.00000247,0.2285,0.030886726
"23","FLFD","FLFDF17",0.09676923,1.258,0.1438,2.1575,5.991,0.016152434,0.024002671,0.209981639,0.360123519,13.0000001,0.8995,0.15014188
"36","FLFD","FLFDF9",0.3073571,4.303,0.2621,3.4079,6.047,0.05082803,0.043343807,0.711592525,0.563568712,14.00000195,0.008951,0.001480238
"21","FLFD","FLFDF13",0.1141176,1.94,0.245,4.1654,6.649,0.017163122,0.036847646,0.291773199,0.626470146,17,2.2254,0.334696947
"20","FLFD","FLFDF11",0.3835294,6.52,0.5037,8.0594,7.121,0.053858924,0.070734447,0.915601741,1.131779244,17.00000052,1.5394,0.216177503
"26","FLFD","FLFDF2",0.4902667,7.354,0.7839,11.7583,8.284,0.059182364,0.094628199,0.887735394,1.419398841,14.99999898,4.4043,0.531663447
"34","FLFD","FLFDF6",0.4778235,8.123,0.5283,8.9807,7.662,0.062362764,0.068950666,1.060167058,1.17210911,17.00000105,0.8577,0.111942052
"33","FLFD","FLFDF4",0.4301333,6.452,0.9959,14.9383,8.79,0.048934391,0.113299204,0.734015927,1.699465301,15.00000116,8.4863,0.965449374
"32","FLFD","FLFDF27",0.1914375,3.063,0.5504,8.8068,7.176,0.026677467,0.076700111,0.426839465,1.227257525,16,5.7438,0.80041806
"27","FLFD","FLFDF20",0.2374375,3.799,0.5223,8.3575,8.87,0.026768602,0.058883878,0.428297632,0.94222097,16,4.5585,0.513923338
"28","FLFD","FLFDF21",0.14,2.09,0.427,6.405,7.946,0.017618928,0.05373773,0.263025422,0.806065945,15,4.315,0.543040523
"19","FLFD","FLFDF1",0.1782857,2.496,0.379,5.3066,6.024,0.0295959,0.062915007,0.414342629,0.880909695,14.00000112,2.8106,0.466567066
"47","TXSP","TXSPF3",0.143421053,2.725,0.4004,7.6068,3.738,0.038368393,0.107116105,0.728999465,2.034991974,18.99999995,4.8818,1.305992509
"42","TXSP","TXSPF16",0.1867826,4.296,0.4012,8.0237,5.112,0.036538067,0.078482003,0.840375587,1.569581377,23.00000107,3.7277,0.72920579
"37","TXSP","TXSPF1",0.2111053,4.011,0.3517,6.6824,3.842,0.05494672,0.091540864,1.043987507,1.739302447,18.99999668,2.6714,0.69531494
"52","TXSP","TXSPF8",0.084125,1.346,0.1938,3.1,2.389,0.035213478,0.081121808,0.563415655,1.297614064,16,1.754,0.734198409
"44","TXSP","TXSPF18",0.16425,3.285,0.3319,6.3066,4.413,0.037219579,0.075209608,0.74439157,1.429095853,20,3.0216,0.684704283
"39","TXSP","TXSPF12",0.2764211,5.252,0.6071,11.5351,4.886,0.05657411,0.124252968,1.0749079,2.360847319,18.99999674,6.2831,1.285939419
"38","TXSP","TXSPF10",0.185619,3.898,0.2442,4.883,3.369,0.055096171,0.072484417,1.157019887,1.449391511,21,0.985,0.292371624
"48","TXSP","TXSPF4",0.22565,4.513,0.4271,8.9692,4.207,0.053636796,0.101521274,1.072735916,2.131970525,20,4.4562,1.059234609
"51","TXSP","TXSPF7",0.1358947,2.582,0.2818,5.0723,3.579,0.03797002,0.078737077,0.721430567,1.417239452,19,2.4903,0.695808885
"50","TXSP","TXSPF6",0.1656316,3.147,0.3165,6.33,3.687,0.044923135,0.085842148,0.853539463,1.716842962,18.99999759,3.183,0.863303499
"53","TXSP","TXSPF9",0.2226522,5.121,0.506,11.6371,4.557,0.048859381,0.111037964,1.123765635,2.553675664,22.99999731,6.5161,1.429910029
"43","TXSP","TXSPF17",0.27015,5.403,0.4114,8.2277,4.129,0.065427464,0.099636716,1.308549286,1.992661661,20,2.8247,0.684112375
"49","TXSP","TXSPF5",0.1266875,2.027,0.2474,4.205,3.535,0.035838048,0.069985856,0.573408769,1.189533239,16,2.178,0.61612447
"40","TXSP","TXSPF13",0.1991579,3.784,0.3964,7.9278,4.885,0.040769273,0.081146366,0.774616172,1.622886387,18.9999995,4.1438,0.848270215
"41","TXSP","TXSPF15",0.1637368,3.111,0.287,5.4536,3.691,0.044361095,0.077756705,0.842861013,1.477539962,19.00000489,2.3426,0.634678949
"45","TXSP","TXSPF19",0.1691333,2.537,0.2512,3.7683,3.916,0.043190322,0.064147089,0.647854954,0.962282942,15.00000296,1.2313,0.314427988
"46","TXSP","TXSPF2",0.0854,1.281,0.347,5.2053,3.957,0.021582007,0.087692696,0.323730099,1.315466262,15,3.9243,0.991736163
"60","TXPA","C9_R1",0.209875,3.358,0.3858,6.1728,5.101,0.041143893,0.075632229,0.658302294,1.210115664,16,2.8148,0.55181337
"61","TXPA","E51_R2",0.057642857,0.807,0.1663,2.3285,4.557,0.012649299,0.036493307,0.177090191,0.510972131,14.00000003,1.5215,0.33388194
"56","TXPA","C3_R1",0.103388889,1.861,0.4412,7.9418,6.121,0.016890849,0.072079726,0.304035288,1.297467734,17.99999998,6.0808,0.993432446
"68","TXPA","E25_R3",0.235318182,5.177,0.502,11.0435,5.694,0.041327394,0.088162979,0.909202669,1.939497717,21.99999998,5.8665,1.030295048
"59","TXPA","C7_R3",0.099117647,1.685,0.5371,9.1315,5.799,0.017092196,0.092619417,0.290567339,1.574668046,17.00000001,7.4465,1.284100707
"64","TXPA","E55_R1",0.177954545,3.915,0.4723,10.3907,6.764,0.026309069,0.069825547,0.578799527,1.536176818,22.00000006,6.4757,0.957377291
"69","TXPA","E26_R1",0.214,3.424,0.4883,7.8124,6.558,0.0326319,0.074458676,0.5221104,1.191277829,16,4.3884,0.669167429
"71","TXPA","E28_R1",0.201210526,3.823,0.5587,10.6145,6.363,0.031621959,0.087804495,0.600817225,1.668159673,19.00000003,6.7915,1.067342448
"54","TXPA","C1_R1",0.222842105,4.234,0.4248,8.0716,5.163,0.043161361,0.082277745,0.820065853,1.563354639,19.00000002,3.8376,0.743288786
"55","TXPA","C2_R2",0.232941176,3.96,0.4151,7.0563,6.424,0.03626108,0.064617061,0.616438356,1.098427771,17.00000003,3.0963,0.481989415
"58","TXPA","C5_R3",0.140352941,2.386,0.3851,6.5473,5.148,0.027263586,0.07480575,0.463480963,1.271814297,17.00000002,4.1613,0.808333334
"72","TXPA","E29_R4",0.111533333,1.673,0.4428,6.6423,5.123,0.021771098,0.08643373,0.326566465,1.296564513,15.00000004,4.9693,0.969998048
"66","TXPA","E21_R5",0.124571429,1.744,0.3143,4.4,5.424,0.022966709,0.057946165,0.321533923,0.81120944,13.99999995,2.656,0.489675517
"57","TXPA","C4_R1",0.199578947,3.792,0.374,6.3587,5.395,0.036993317,0.069323448,0.702873031,1.17862836,19.00000004,2.5667,0.475755329
"62","TXPA","E52_R4",0.256,4.608,0.5342,9.6159,5.864,0.043656207,0.091098226,0.785811733,1.639819236,18,5.0079,0.854007503
"65","TXPA","E57_R2",0.062470588,1.062,0.2874,4.8863,5.298,0.011791353,0.054246886,0.200453001,0.922291431,17.00000006,3.8243,0.72183843
"67","TXPA","E24_R3",0.2893,5.786,0.6501,13.0014,5.874,0.049250936,0.110674157,0.985018727,2.213381001,20,7.2154,1.228362274
